species,phenotype,BLUP_mean,LASSO_mean,SVR_mean,RF_mean,XGB_mean,MLP_mean,CNN_mean,LCNN_mean,BLUP_std,LASSO_std,SVR_std,RF_std,XGB_std,MLP_std,CNN_std,LCNN_std
Simulation,sim33_shift,0.332105747095403,0.5505252845535168,0.3194504353444398,0.2880583409847534,0.5274903956596048,0.3030317145831993,0.2873693399509411,0.3732790823761544,0.0598497265447579,0.0434550288479247,0.0996051997659196,0.0916121348995439,0.0489825985136441,0.0485986780281873,0.1006938692488042,0.0886769844399686
Simulation,sim32_shift,0.4413015419422613,0.3698142668155433,0.4399977492091562,0.3465239662401316,0.3849004495164347,0.4193810942904348,0.3562892248503657,0.2942808554157722,0.077781139798153,0.053502340158402,0.077164567594005,0.0923826075969323,0.0546096491045617,0.0578074963775926,0.0657228246979956,0.0901434505341646
Simulation,sim36_shift,0.3766164487333647,0.3626187142040378,0.3766499196661146,0.209597075332488,0.2857365518560119,0.3207208755099706,0.3269990782120336,0.1117030574555119,0.0171948343311208,0.0209485242677075,0.0182367567801498,0.0224569211923775,0.020428590174246,0.0213407450067591,0.017187274497599,0.0453438970939272
Simulation,sim31_shift,0.2287184020638852,0.0196729184115257,0.1718018411179581,0.1494183566020659,0.1433648759754008,-0.0507803037564403,0.0592520098082557,0.0613684357445185,0.0923507769487858,0.027821708029039,0.0686538610435944,0.0640688376728743,0.1065441508642072,0.1294814344991758,0.0855285374004309,0.0998808819530505
Simulation,sim35_shift,0.3053901202388474,0.3452597816265559,0.3053264205996518,0.2213689718342073,0.4137295046864686,0.1597694677533645,0.2355600934960153,0.2178786675762027,0.051633584083074,0.0647656331311356,0.0525341647735627,0.0638185173330783,0.0720845474978156,0.0898653918518338,0.0298590462293611,0.0196028779760569
Simulation,sim37_shift,0.3918357184919603,0.5139490165551858,0.3973283595033752,0.3249342630421135,0.4899272306953577,0.3535718316357825,0.3545711354465864,0.3346931560871181,0.0554536733646689,0.0386865314819188,0.0435103604194742,0.0201277399804428,0.0387606032058529,0.0489494163348967,0.0379261599049918,0.0367502271530727
Simulation,sim38_shift,0.3587092429883642,0.5289597702112108,0.3596613901951328,0.2585096854674962,0.4101163148698657,0.1433990155038609,0.1590316712495059,0.2931086987005496,0.0250702437478655,0.0679112041765633,0.0239467349547472,0.0211102517648919,0.0589796867867273,0.2255074811524938,0.2629597575313985,0.1422395923674802
Simulation,sim39_shift,0.0406610387845504,0.0828101186584158,0.1525951249629641,0.1092115119314763,0.0756858079419025,0.1244242199273944,0.0791484688019345,0.0672726939453041,0.0214634386073721,0.0139221051174996,0.05165482418937,0.0185228770058636,0.0411287129258848,0.0279880054465904,0.0709774729819736,0.0322332402963492
Simulation,sim40_shift,0.1138239486005886,0.1494382553035725,0.1900741112155313,0.1592308043093869,0.1841659709352784,0.129875855427732,0.1788205901421236,0.1273483364220099,0.070993889212606,0.0702274976837212,0.0523944182281376,0.0468340684789783,0.126149605488717,0.0359008625455808,0.0409259855168736,0.0739171499906162
Simulation,sim41_shift,0.5168633565854761,0.4914009489160993,0.5188498277953316,0.4463322882158158,0.477742938081357,0.480737287311823,0.4541292361044298,0.4156078484569303,0.0483408546406518,0.0359548917169574,0.0492551378397779,0.0293209199317665,0.0527415208715496,0.0549470474617821,0.0398015671503481,0.0409831203326193
